City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
131,Constitucion,CL,61.72,clear sky,-35.3333,-72.4167,
133,Kinston,US,46.72,clear sky,35.2627,-77.5816,
135,Amapa,BR,73.08,moderate rain,1.0,-52.0,
136,Arraial Do Cabo,BR,78.04,broken clouds,-22.9661,-42.0278,
141,Jaru,BR,75.54,overcast clouds,-10.4389,-62.4664,
149,Raudeberg,NO,47.07,light rain,61.9875,5.1352,
150,Naze,JP,67.12,clear sky,28.3667,129.4833,
153,San Quintin,MX,62.89,clear sky,30.4833,-115.95,
157,Dunedin,NZ,63.59,clear sky,-45.8742,170.5036,
159,Half Moon Bay,US,67.78,haze,37.4636,-122.4286,
161,Sawakin,SD,70.7,scattered clouds,19.1059,37.3321,
163,Mar Del Plata,AR,67.08,clear sky,-38.0023,-57.5575,
165,Tamiahua,MX,66.65,overcast clouds,21.2667,-97.45,
166,Biak,ID,76.78,broken clouds,-0.9131,122.8766,
167,Mbour,SN,70.65,clear sky,14.422,-16.9638,
170,Perth,AU,69.67,clear sky,-31.9333,115.8333,
171,Gurupa,BR,74.8,light rain,-1.405,-51.64,
173,Yining,CN,67.05,scattered clouds,29.0361,114.5636,
174,Bereda,ES,42.58,broken clouds,43.2686,-7.5406,
175,Vila Franca Do Campo,PT,56.19,overcast clouds,37.7167,-25.4333,
179,Cockburn Town,TC,77.9,clear sky,21.4612,-71.1419,
180,Bubaque,GW,75.6,overcast clouds,11.2833,-15.8333,
181,Coihaique,CL,54.21,scattered clouds,-45.5752,-72.0662,
185,Marzuq,YE,61.72,scattered clouds,14.4,46.4667,
186,Rianxo,ES,47.25,light rain,42.6498,-8.8176,
187,Byron Bay,AU,73.29,light rain,-28.65,153.6167,
188,Mucurapo,TT,79.25,overcast clouds,10.6667,-61.5333,
189,Boueni,YT,78.78,overcast clouds,-12.9025,45.0761,
190,Lebu,CL,59.27,clear sky,-37.6167,-73.65,
192,Nuevo Progreso,MX,67.53,broken clouds,23.1667,-97.95,
193,Esperance,AU,66.04,scattered clouds,-33.8667,121.9,
194,Victoria,HK,72.32,broken clouds,22.2855,114.1577,
197,Namie,JP,58.71,overcast clouds,37.4833,141.0,
198,Acari,PE,76.08,overcast clouds,-15.4311,-74.6158,
199,Mayumba,GA,77.92,overcast clouds,-3.432,10.6554,
200,Esmeraldas,BR,79.84,overcast clouds,-19.7625,-44.3139,
201,Shingu,JP,63.43,broken clouds,33.7333,135.9833,
202,Simmerath,DE,46.51,overcast clouds,50.6,6.3,
205,Hokitika,NZ,64.92,clear sky,-42.7167,170.9667,
206,Ilebo,CD,68.72,overcast clouds,-4.3167,20.5833,
207,Visnes,NO,45.21,scattered clouds,59.3556,5.2242,
208,Bilma,NE,67.42,clear sky,18.6853,12.9164,
209,Saryozek,KZ,42.15,overcast clouds,44.3583,77.9753,
210,North Bend,US,53.92,overcast clouds,43.4065,-124.2243,
211,Codrington,AU,66.38,moderate rain,-38.2667,141.9667,
212,Atar,MR,73.8,clear sky,20.5169,-13.0499,
