City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Manavalakurichi,IN,8.1333,77.3,77.14,66,90,4.83,overcast clouds
231,Mayo,US,38.8876,-76.5119,43.21,44,0,9.22,clear sky
232,College,US,64.8569,-147.8028,17.55,32,20,11.5,few clouds
233,Dingle,PH,10.9995,122.6711,78.26,88,67,5.12,broken clouds
234,Rocha,UY,-34.4833,-54.3333,58.3,89,10,4.7,clear sky
235,Svolvaer,NO,68.2342,14.5683,38.5,75,80,10.09,broken clouds
236,Tagusao,PH,9.1924,117.8141,79.77,80,43,2.64,scattered clouds
237,Sembe,CG,1.6481,14.5806,71.71,89,44,3.06,scattered clouds
238,High Level,CA,58.5169,-117.136,3.31,51,40,8.05,scattered clouds
239,San Juan De Abajo,MX,20.8167,-105.1833,76.68,57,20,12.66,few clouds
240,Lorengau,PG,-2.0226,147.2712,84.51,72,25,8.12,scattered clouds
241,Caravelas,BR,-17.7125,-39.2481,78.3,81,100,5.73,overcast clouds
242,Ilulissat,GL,69.2167,-51.1,3.22,66,75,9.22,broken clouds
243,Muskogee,US,35.5834,-95.3336,64.62,23,0,16.11,clear sky
244,Abu Samrah,SY,35.3029,37.1841,34.7,92,56,7.07,broken clouds
245,Tessalit,ML,20.1986,1.0114,74.86,10,0,8.7,clear sky
246,Husavik,IS,66.0449,-17.3389,24.37,77,98,13.06,overcast clouds
247,Talnakh,RU,69.4865,88.3972,-7.8,93,100,7.63,overcast clouds
248,Bella Union,UY,-30.2752,-57.6007,64.42,64,1,6.91,clear sky
249,Marawi,PH,7.9986,124.2928,71.49,92,84,2.17,broken clouds
250,Palasa,IN,18.7667,84.4167,73.31,47,92,2.59,overcast clouds
251,Kodiak,US,57.79,-152.4072,40.51,81,100,31.07,light rain
252,Saint Pete Beach,US,27.7253,-82.7412,67.14,54,0,12.66,clear sky
253,Cherskiy,RU,68.75,161.3,-10.89,95,99,2.82,overcast clouds
254,Baglung,NP,28.2719,83.5898,60.01,30,1,6.73,clear sky
255,Sayan,PE,-11.1361,-77.1933,73.33,75,100,4.05,moderate rain
256,Vercelli,IT,45.3231,8.4153,46.74,51,99,2.42,light rain
257,San Francisco Del Mar,MX,16.2333,-94.65,80.19,57,17,23.69,few clouds
258,Salalah,OM,17.0151,54.0924,73.49,46,0,3.44,clear sky
259,Baker City,US,44.7749,-117.8344,42.58,72,100,0.0,overcast clouds
260,Luderitz,NA,-26.6481,15.1594,65.17,68,0,24.27,clear sky
261,Arica,CL,-18.475,-70.3042,74.75,64,0,3.44,clear sky
262,Mackay,AU,-21.15,149.2,82.69,73,75,14.97,broken clouds
263,Faanui,PF,-16.4833,-151.75,81.37,72,90,8.9,overcast clouds
264,Griffith,US,41.5284,-87.4237,50.9,67,0,13.8,clear sky
265,Lander,US,42.833,-108.7307,46.8,39,0,3.44,clear sky
266,Yueyang,CN,29.3333,113.0919,69.85,79,53,2.51,broken clouds
267,Sao Filipe,CV,14.8961,-24.4956,71.83,69,4,16.42,clear sky
268,Kribi,CM,2.95,9.9167,79.54,83,99,7.2,overcast clouds
269,Port Hardy,CA,50.6996,-127.4199,48.38,76,100,10.36,light intensity shower rain
270,Nelson Bay,AU,-32.7167,152.15,74.1,80,49,3.0,scattered clouds
271,Verkhoyansk,RU,67.5447,133.385,-12.51,99,100,1.77,overcast clouds
272,Koumac,NC,-20.5667,164.2833,83.59,71,94,0.69,overcast clouds
273,Fortuna,US,40.5982,-124.1573,58.08,59,0,10.36,clear sky
274,Port-Gentil,GA,-0.7193,8.7815,81.95,77,100,10.67,overcast clouds
275,Nola,IT,40.922,14.5329,49.86,58,0,3.53,clear sky
276,Dwarka,IN,22.2394,68.9678,76.03,74,1,8.25,clear sky
277,Roald,NO,62.5833,6.1333,52.72,61,100,6.91,overcast clouds
278,Henties Bay,NA,-22.116,14.2845,63.88,87,88,9.55,overcast clouds
279,Klaksvik,FO,62.2266,-6.589,43.72,95,100,21.47,overcast clouds
280,Talcahuano,CL,-36.7167,-73.1167,69.48,56,0,8.05,clear sky
281,Beringovskiy,RU,63.05,179.3167,5.76,81,11,5.61,few clouds
282,Vardo,NO,70.3705,31.1107,35.06,93,100,8.79,overcast clouds
283,Coueron,FR,47.2151,-1.7217,47.88,92,0,6.91,clear sky
284,Ponca City,US,36.707,-97.0856,68.02,15,0,16.11,clear sky
285,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,59,20,4.47,few clouds
286,East London,ZA,-33.0153,27.9116,69.57,91,99,4.97,light rain
287,Avera,US,33.194,-82.5271,53.65,36,0,4.92,clear sky
288,Kolondieba,ML,11.0882,-6.8926,86.11,13,96,4.9,overcast clouds
289,Rio Tuba,PH,8.5061,117.4317,80.53,81,70,4.63,broken clouds
290,Priboj,BA,44.6028,18.9314,26.44,77,5,4.81,clear sky
291,Sur,OM,22.5667,59.5289,78.93,40,25,7.9,scattered clouds
292,Leningradskiy,RU,69.3833,178.4167,-1.73,91,100,8.93,overcast clouds
293,Aklavik,CA,68.2191,-135.0107,1.53,78,20,11.99,few clouds
294,Suntar,RU,62.1444,117.6319,-0.65,98,100,4.56,overcast clouds
295,Ukiah,US,39.1502,-123.2078,64.36,37,0,5.75,clear sky
296,Hanmer Springs,NZ,-42.5167,172.8167,63.36,45,24,4.25,few clouds
297,Ola,RU,59.5833,151.2833,12.15,68,100,4.99,overcast clouds
298,Belyy Yar,RU,53.6039,91.3903,3.09,56,0,8.95,clear sky
299,Otane,NZ,-39.8833,176.6333,61.02,85,100,7.54,overcast clouds
300,Thompson,CA,55.7435,-97.8558,12.36,73,100,13.8,overcast clouds
301,Kharan,PK,28.5833,65.4167,75.76,33,38,4.59,scattered clouds
302,Beyneu,KZ,45.3167,55.2,28.9,80,39,9.4,scattered clouds
303,Alice Springs,AU,-23.7,133.8833,80.15,22,9,4.61,clear sky
304,Rawson,AR,-43.3002,-65.1023,63.59,51,47,13.82,scattered clouds
305,Manzhouli,CN,49.6,117.4333,16.57,85,99,3.27,overcast clouds
306,Ketchikan,US,55.3422,-131.6461,45.07,61,100,8.05,overcast clouds
307,Bayan,CN,46.0833,127.4,22.66,93,100,7.34,overcast clouds
308,Nyurba,RU,63.2842,118.3319,-8.41,98,100,2.48,overcast clouds
309,Kulhudhuffushi,MV,6.6221,73.07,81.68,73,97,4.61,overcast clouds
310,Clyde River,CA,70.4692,-68.5914,-14.57,70,100,16.11,light snow
311,Yaan,NG,7.3833,8.5667,87.76,35,70,1.12,broken clouds
312,Dedovichi,RU,57.5517,29.9502,26.06,94,13,4.63,few clouds
313,Lata,PT,40.1629,-8.3327,47.07,89,72,4.07,broken clouds
314,Nouadhibou,MR,20.931,-17.0347,64.38,77,64,23.02,sand
315,Mosquera,CO,4.7059,-74.2302,60.89,77,75,2.3,light intensity drizzle
316,Hella,NO,67.2,14.4333,41.14,57,20,24.16,few clouds
317,Zhangye,CN,38.9342,100.4517,45.97,35,20,8.7,few clouds
318,Chontalpa,MX,17.7,-93.5167,63.32,95,100,3.65,overcast clouds
319,Batagay-Alyta,RU,67.8006,130.4114,-17.12,96,100,4.18,overcast clouds
320,Kawalu,ID,-7.3817,108.2082,73.22,96,100,2.8,overcast clouds
321,Nabire,ID,-3.3667,135.4833,78.75,88,99,1.86,light rain
322,Huejuquilla El Alto,MX,22.6,-103.8667,75.7,9,3,20.2,clear sky
323,Nautla,MX,20.2167,-96.7833,66.42,75,29,6.6,scattered clouds
324,Deputatskiy,RU,69.3,139.9,-20.25,100,97,2.21,overcast clouds
325,Kavieng,PG,-2.5744,150.7967,84.25,71,49,14.76,scattered clouds
326,Petauke,ZM,-14.2426,31.3253,62.56,96,91,2.3,overcast clouds
327,Cochrane,CA,51.1834,-114.4687,38.75,62,20,8.05,few clouds
328,Porto Novo,BJ,6.4965,2.6036,82.09,78,32,7.07,scattered clouds
329,Te Anau,NZ,-45.4167,167.7167,65.16,56,68,0.22,broken clouds
330,Makakilo City,US,21.3469,-158.0858,82.72,55,0,17.27,clear sky
331,San Vicente,AR,-26.6167,-54.1333,65.86,71,30,3.04,scattered clouds
332,Koslan,RU,63.4564,48.8989,13.21,96,97,6.73,overcast clouds
333,Sri Aman,MY,1.2376,111.4621,75.25,100,92,0.0,overcast clouds
334,Tiarei,PF,-17.5333,-149.3333,87.82,73,91,8.52,overcast clouds
335,Batticaloa,LK,7.7102,81.6924,79.27,74,98,7.45,overcast clouds
336,Bambous Virieux,MU,-20.3428,57.7575,79.05,83,20,6.91,moderate rain
337,Blackwater,AU,-23.5833,148.8833,76.57,51,75,13.51,broken clouds
338,Olafsvik,IS,64.8945,-23.7142,38.52,66,27,25.79,scattered clouds
339,Maragogi,BR,-9.0122,-35.2225,80.49,77,100,8.93,overcast clouds
340,Dongsheng,CN,39.8161,109.9776,33.6,39,2,9.82,clear sky
341,Walvis Bay,NA,-22.9575,14.5053,65.35,82,55,8.05,broken clouds
342,Hofn,IS,64.2539,-15.2082,35.89,46,51,9.6,broken clouds
343,Sompeta,IN,18.9333,84.6,75.7,44,99,2.46,overcast clouds
344,Poum,NC,-20.2333,164.0167,82.17,75,79,8.25,broken clouds
345,Cradock,ZA,-32.1642,25.6192,64.0,76,100,3.67,light rain
346,Russell,US,32.3502,-85.1999,58.28,12,0,0.0,clear sky
